"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31"
1,12,31,35,38,41,72,98,118,129,134,172,187,201,214,222,231,251,254,299,308,316,321,339,NA,NA,NA,NA,NA,NA,NA
1,28,33,36,45,73,88,96,121,126,132,144,154,186,201,205,211,227,253,259,280,297,302,309,319,328,NA,NA,NA,NA,NA
1,22,38,45,61,76,99,129,135,142,146,151,171,178,202,212,219,223,252,273,298,306,310,317,NA,NA,NA,NA,NA,NA,NA
1,13,30,37,41,48,73,87,120,129,135,139,159,193,199,205,214,219,281,296,304,314,334,NA,NA,NA,NA,NA,NA,NA,NA
1,17,32,38,45,49,57,65,88,109,117,126,134,142,180,195,209,213,221,237,280,292,297,303,308,319,326,NA,NA,NA,NA
1,26,30,37,40,57,102,121,131,143,156,171,175,209,225,230,245,280,293,304,310,319,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,18,26,36,46,75,96,112,130,142,146,165,171,200,208,219,252,267,296,305,311,315,329,NA,NA,NA,NA,NA,NA,NA,NA
1,15,25,31,36,43,46,56,62,73,79,88,102,112,124,129,136,143,157,165,171,181,194,206,214,231,260,279,295,301,313
1,33,47,59,66,87,91,128,138,145,156,174,179,199,210,217,238,276,288,291,298,303,315,326,NA,NA,NA,NA,NA,NA,NA
1,20,29,34,38,57,64,90,109,124,128,134,141,149,154,179,195,199,209,215,224,244,250,256,265,280,288,292,311,320,NA
1,10,20,32,37,43,52,76,94,115,121,127,131,136,149,174,181,199,210,214,217,225,249,293,301,315,NA,NA,NA,NA,NA
1,28,33,42,59,79,112,122,127,133,140,165,198,202,213,237,251,267,291,295,302,308,319,341,NA,NA,NA,NA,NA,NA,NA
1,32,40,45,50,54,82,114,121,135,181,210,214,225,229,241,299,304,319,341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,22,30,36,44,66,114,125,130,137,145,153,173,186,200,207,218,239,281,286,300,305,310,325,NA,NA,NA,NA,NA,NA,NA
1,7,20,33,37,42,52,67,93,122,129,133,138,148,172,199,214,218,223,228,253,282,298,306,311,321,NA,NA,NA,NA,NA
1,18,30,37,40,45,62,109,122,132,154,169,174,210,216,220,233,253,292,303,312,325,330,NA,NA,NA,NA,NA,NA,NA,NA
