"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47"
"1",1,11,24,30,38,44,53,61,75,80,98,103,113,121,130,134,155,161,172,186,189,196,231,236,243,257,264,276,281,286,290,300,306,327,349,358,377,382,388,427,NA,NA,NA,NA,NA,NA,NA
"2",1,7,12,16,25,59,64,73,85,97,119,127,137,159,165,187,195,200,203,210,215,252,262,284,300,305,310,314,328,332,346,351,362,365,375,414,431,439,445,NA,NA,NA,NA,NA,NA,NA,NA
"3",1,7,19,28,32,47,56,59,69,75,84,96,103,107,127,137,143,150,165,187,211,214,241,245,252,266,278,307,314,320,325,332,335,366,384,388,399,420,430,434,NA,NA,NA,NA,NA,NA,NA
"4",1,32,47,71,82,96,112,123,138,149,154,165,208,211,214,219,231,235,238,243,259,288,301,321,348,356,361,365,374,389,395,404,408,412,422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",1,5,8,11,15,23,28,38,52,59,64,70,80,92,100,110,126,135,167,180,183,187,201,207,212,225,230,259,268,278,284,296,304,308,331,366,372,377,415,420,434,440,NA,NA,NA,NA,NA
"6",1,8,19,30,70,118,146,153,171,178,185,190,212,219,236,250,270,280,291,302,355,365,370,387,412,424,433,443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",1,4,24,31,44,58,68,100,103,113,131,143,147,161,167,181,186,223,260,276,287,294,299,310,316,322,353,363,366,392,401,404,410,441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",1,10,13,23,38,41,59,82,89,93,104,111,116,124,146,162,169,173,177,190,205,209,218,228,257,262,270,280,290,300,304,313,333,338,343,347,352,363,370,411,421,428,432,NA,NA,NA,NA
"9",1,9,23,36,39,44,48,66,74,82,92,118,123,126,164,168,177,188,199,203,223,242,250,258,262,266,282,296,302,308,336,340,367,372,378,381,396,418,442,NA,NA,NA,NA,NA,NA,NA,NA
"10",1,5,20,28,45,66,70,74,87,90,97,104,124,134,148,168,171,188,194,208,216,229,251,256,273,283,293,296,321,329,336,341,359,372,379,389,401,416,425,NA,NA,NA,NA,NA,NA,NA,NA
"11",1,4,7,25,33,36,46,58,86,95,114,126,129,148,164,175,180,189,200,214,240,243,250,265,278,281,293,307,320,330,333,341,344,350,370,373,431,436,443,NA,NA,NA,NA,NA,NA,NA,NA
"12",1,9,30,36,41,55,60,70,77,90,96,113,121,126,133,140,144,148,167,173,182,194,198,201,218,229,233,242,247,252,258,281,292,295,298,324,330,349,369,376,382,397,408,420,436,441,445
"13",1,11,14,32,39,57,67,77,81,113,120,126,132,144,157,163,173,185,192,197,203,207,213,219,222,225,243,258,262,267,280,293,298,314,332,348,359,387,390,NA,NA,NA,NA,NA,NA,NA,NA
"14",1,6,11,27,30,33,45,50,72,77,112,144,148,179,195,207,217,231,247,252,257,270,277,297,308,325,355,365,368,378,383,395,421,432,437,443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",1,19,32,41,63,69,100,105,110,115,122,147,157,161,165,170,175,184,201,212,227,235,273,289,293,310,348,351,362,366,386,393,419,423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",1,10,21,32,37,48,57,60,68,93,97,113,116,134,142,191,195,229,235,244,253,260,273,290,303,321,326,332,348,351,354,359,362,365,371,376,381,386,399,419,432,438,NA,NA,NA,NA,NA
"17",1,8,15,21,48,52,63,70,75,102,115,128,144,148,159,177,195,200,234,237,244,252,266,285,315,322,333,339,347,352,363,371,376,380,387,396,401,413,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",1,7,12,19,39,42,59,67,72,77,98,106,115,130,144,166,171,178,190,196,217,240,263,269,272,295,306,326,338,351,361,365,373,388,410,415,427,433,437,NA,NA,NA,NA,NA,NA,NA,NA
"19",1,11,19,23,30,33,37,40,43,69,92,108,132,135,150,170,177,187,201,222,238,243,252,269,298,308,323,338,342,369,375,395,416,434,441,444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",1,21,32,38,46,52,80,93,105,108,112,116,131,162,173,176,185,196,213,234,240,246,250,276,281,290,293,301,337,347,351,359,379,399,419,423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",1,17,28,60,67,74,80,104,128,136,144,150,158,181,185,192,207,213,222,228,255,263,267,273,278,299,303,306,313,347,364,377,388,397,401,405,419,429,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",1,7,12,21,30,33,53,69,77,81,86,90,99,104,113,116,128,140,157,161,170,183,223,230,242,259,263,275,321,324,333,342,355,360,375,386,392,395,402,407,416,437,442,NA,NA,NA,NA
"23",1,7,14,29,32,67,72,87,93,105,109,158,165,191,194,198,201,204,208,245,249,257,267,273,282,292,298,303,320,329,342,359,364,367,384,406,411,421,430,442,NA,NA,NA,NA,NA,NA,NA
