"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25"
1,19,25,60,72,75,120,131,166,172,209,219,229,233,264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,25,28,40,52,82,115,127,149,154,157,160,172,179,210,214,232,241,248,251,263,270,NA,NA,NA
1,33,112,119,130,175,180,185,207,216,254,257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,34,41,48,105,119,124,133,162,165,174,204,228,238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,12,56,74,79,87,98,114,125,134,170,179,187,218,232,249,254,258,268,NA,NA,NA,NA,NA,NA
1,28,40,46,50,61,67,120,129,133,147,174,180,222,240,248,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,20,26,43,54,57,62,83,86,97,114,118,143,179,182,186,190,217,230,238,241,261,268,NA,NA
1,14,29,49,70,87,90,113,164,168,172,186,190,195,209,221,247,265,NA,NA,NA,NA,NA,NA,NA
1,45,66,86,90,96,156,159,165,216,249,252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,5,8,23,30,91,100,105,142,147,150,156,216,219,230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,34,46,71,102,120,134,157,164,170,178,206,212,216,222,246,253,NA,NA,NA,NA,NA,NA,NA,NA
1,5,9,15,24,31,34,67,80,122,126,168,173,203,211,250,255,NA,NA,NA,NA,NA,NA,NA,NA
1,11,37,41,49,52,94,140,183,194,200,214,233,252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,9,59,83,101,134,149,159,168,188,199,221,245,269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,8,29,32,36,51,56,61,71,82,86,165,213,224,252,268,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,9,17,27,41,70,80,84,103,106,123,132,147,155,173,185,188,195,203,225,239,247,260,NA,NA
1,19,24,51,96,111,115,141,146,151,178,187,198,203,211,227,241,NA,NA,NA,NA,NA,NA,NA,NA
1,21,29,45,49,65,68,72,115,141,159,165,210,252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,8,28,36,62,70,124,127,150,161,183,191,241,246,249,264,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,12,16,53,66,103,111,115,130,134,157,174,194,202,231,236,252,NA,NA,NA,NA,NA,NA,NA,NA
1,17,37,41,52,58,97,123,139,151,169,177,224,236,241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,7,27,38,67,71,77,114,120,179,189,243,247,267,272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,30,39,62,67,78,101,112,147,154,157,176,184,192,209,233,239,266,269,272,NA,NA,NA,NA,NA
1,11,56,64,70,78,86,90,95,127,130,147,164,187,225,229,265,NA,NA,NA,NA,NA,NA,NA,NA
1,36,47,70,115,121,150,169,179,198,203,235,239,271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,8,29,62,75,78,105,111,153,198,232,241,245,258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,18,26,34,55,61,66,71,78,102,112,121,124,128,151,154,161,169,181,194,201,216,226,242,265
1,17,24,35,51,56,78,82,90,101,106,121,149,162,169,180,192,195,219,228,235,242,247,254,NA
1,13,20,27,55,94,98,132,137,142,191,199,207,238,245,250,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,7,17,37,41,54,63,78,84,90,145,148,152,188,202,241,248,252,NA,NA,NA,NA,NA,NA,NA
1,24,45,53,82,85,120,155,169,179,208,213,224,230,253,262,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,20,30,42,93,111,157,160,213,217,221,251,265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,44,77,80,94,115,119,167,171,204,210,241,249,270,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,37,47,67,72,75,103,130,141,156,161,192,214,230,252,259,267,NA,NA,NA,NA,NA,NA,NA,NA
1,49,92,108,126,131,155,173,185,213,218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,37,43,53,71,84,96,99,109,112,129,136,145,159,175,214,224,228,240,254,258,NA,NA,NA,NA
1,16,43,56,85,93,123,156,166,174,199,230,234,240,246,251,256,NA,NA,NA,NA,NA,NA,NA,NA
1,12,15,47,52,59,83,95,107,116,125,128,136,163,184,216,244,258,268,271,NA,NA,NA,NA,NA
1,11,39,49,67,97,122,149,159,204,210,231,246,253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,7,10,15,41,53,62,126,137,157,195,212,251,259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
