"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
1,14,20,26,32,46,53,58,75,86,118,150,165,169,179,197,206,210,213,226,NA
1,12,21,25,32,51,57,75,121,151,169,176,186,205,208,211,218,226,NA,NA,NA
1,14,21,26,32,50,53,57,72,93,127,151,167,172,178,202,207,210,214,222,NA
1,9,21,29,32,42,47,55,75,93,120,167,171,179,206,209,212,220,NA,NA,NA
1,7,20,24,32,43,47,54,66,113,169,172,176,182,204,208,211,218,NA,NA,NA
1,13,20,26,55,65,119,162,169,179,206,211,218,NA,NA,NA,NA,NA,NA,NA,NA
1,15,24,48,56,65,92,120,171,178,201,208,214,222,NA,NA,NA,NA,NA,NA,NA
1,12,26,49,56,72,121,171,179,194,206,215,223,NA,NA,NA,NA,NA,NA,NA,NA
1,10,17,26,52,55,66,93,134,170,178,194,204,208,214,NA,NA,NA,NA,NA,NA
1,19,26,34,51,54,63,72,88,135,149,169,172,177,194,206,211,221,NA,NA,NA
1,7,15,23,56,73,120,171,177,183,198,205,211,219,222,NA,NA,NA,NA,NA,NA
1,9,21,26,35,51,56,72,89,130,168,174,177,188,200,208,212,216,225,NA,NA
1,7,18,26,33,38,51,56,71,84,121,168,180,194,204,208,214,223,NA,NA,NA
1,8,24,35,49,57,120,170,179,201,216,226,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,19,27,34,51,55,59,69,78,122,170,176,180,200,206,212,216,223,NA,NA,NA
1,16,23,31,50,56,75,93,142,158,167,174,177,205,215,223,NA,NA,NA,NA,NA
1,13,26,33,52,55,69,122,145,170,180,196,205,214,217,225,NA,NA,NA,NA,NA
1,25,31,48,55,66,90,120,150,169,181,206,216,225,NA,NA,NA,NA,NA,NA,NA
1,12,26,29,32,44,50,55,65,90,135,171,175,181,190,206,211,215,222,NA,NA
1,9,20,26,49,56,72,87,131,151,164,174,178,185,199,205,211,216,226,NA,NA
1,10,14,20,27,51,56,67,105,135,167,173,177,186,207,213,225,NA,NA,NA,NA
1,7,24,29,32,52,56,66,92,115,169,177,204,211,219,223,NA,NA,NA,NA,NA
1,18,22,27,31,38,51,56,65,90,119,167,174,179,191,204,207,212,220,NA,NA
1,8,25,33,50,54,57,66,92,119,151,165,171,181,193,202,208,215,223,NA,NA
1,9,21,30,33,52,55,64,71,91,121,145,152,164,172,176,184,204,211,218,NA
1,10,20,26,31,51,55,66,91,135,141,169,174,178,202,208,214,221,NA,NA,NA
1,9,20,24,27,32,52,56,76,84,135,151,172,175,183,190,206,210,215,221,NA
1,12,18,27,31,36,49,56,64,75,113,145,150,167,170,174,180,186,207,214,225
1,8,17,26,32,46,57,75,90,137,150,169,177,185,203,207,212,218,NA,NA,NA
1,7,21,25,31,49,56,67,113,170,178,191,207,214,224,NA,NA,NA,NA,NA,NA
1,19,26,38,52,56,83,122,171,175,183,207,211,222,NA,NA,NA,NA,NA,NA,NA
1,8,19,26,49,53,56,84,121,170,177,193,207,214,221,NA,NA,NA,NA,NA,NA
1,18,24,51,55,65,91,121,166,173,176,181,190,207,211,216,223,NA,NA,NA,NA
1,18,49,56,61,66,90,122,145,148,170,173,179,193,203,213,217,221,NA,NA,NA
1,10,24,48,56,75,110,172,177,190,204,213,221,NA,NA,NA,NA,NA,NA,NA,NA
1,26,51,54,63,76,88,121,151,171,175,179,204,216,225,NA,NA,NA,NA,NA,NA
1,21,52,56,74,91,120,145,171,176,182,194,206,211,219,222,NA,NA,NA,NA,NA
1,21,26,32,49,55,64,72,122,170,175,180,207,212,220,NA,NA,NA,NA,NA,NA
1,25,51,56,64,72,121,142,157,163,171,178,207,214,227,NA,NA,NA,NA,NA,NA
1,15,21,24,34,49,54,57,71,121,167,173,177,206,213,228,NA,NA,NA,NA,NA
1,9,21,25,35,51,56,73,120,169,178,203,214,230,NA,NA,NA,NA,NA,NA,NA
1,18,25,31,52,57,81,122,171,179,195,205,214,218,228,NA,NA,NA,NA,NA,NA
1,13,20,26,34,52,56,77,121,169,172,176,185,206,213,221,NA,NA,NA,NA,NA
1,10,26,32,49,54,59,116,167,171,177,192,204,211,216,224,NA,NA,NA,NA,NA
1,8,13,20,25,32,51,56,66,121,169,178,203,213,218,NA,NA,NA,NA,NA,NA
1,10,25,30,51,56,66,121,145,152,169,177,181,198,202,210,216,222,NA,NA,NA
1,8,25,34,50,54,57,121,157,166,174,179,204,207,213,222,NA,NA,NA,NA,NA
1,11,26,31,52,55,65,74,92,134,151,165,172,177,183,207,215,220,NA,NA,NA
1,20,27,32,51,56,75,121,171,178,206,216,223,NA,NA,NA,NA,NA,NA,NA,NA
1,8,24,27,33,49,53,56,64,67,122,170,175,179,203,207,214,224,NA,NA,NA
1,20,26,38,52,55,64,72,122,150,169,172,175,180,204,214,222,NA,NA,NA,NA
1,13,25,48,56,73,87,121,168,177,182,207,212,222,NA,NA,NA,NA,NA,NA,NA
1,10,25,50,55,66,88,145,148,167,172,181,194,207,214,226,NA,NA,NA,NA,NA
1,18,26,55,67,122,167,178,204,218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,17,27,51,54,57,65,118,145,151,167,174,177,181,190,204,213,223,NA,NA,NA
1,8,17,26,31,48,55,66,93,122,170,182,205,211,220,NA,NA,NA,NA,NA,NA
1,20,26,32,50,53,58,66,119,171,178,189,202,215,218,NA,NA,NA,NA,NA,NA
